iter	RMSE
0	163.8777877
1	149.0300322
2	135.6956403
3	123.9455333
4	113.4132667
5	103.9536904
6	95.56922499
7	87.98616185
8	81.29204468
9	75.44072282
10	70.32526209
11	65.68434605
12	61.68675438
13	58.11516442
14	54.98868369
15	52.09111252
16	49.73673254
17	47.5780543
18	45.47620744
19	43.85843355
20	42.06282894
21	40.15979225
22	38.98899371
23	37.48780285
24	36.49301644
25	35.24828723
26	34.47892128
27	33.48531618
28	32.82204309
29	32.01132993
30	31.49402032
31	30.72436597
32	30.10840862
33	29.66891976
34	29.19781309
35	28.87130744
36	28.3599039
37	27.9650671
38	27.63107886
39	27.36107874
40	27.12672356
41	26.69124687
42	26.46906544
43	26.13161201
44	25.76465763
45	25.50850654
46	25.29172838
47	25.07886194
48	24.82984712
49	24.43154171
50	24.13072449
51	23.78176904
52	23.60348542
53	23.4568116
54	23.34733576
55	23.01421057
56	22.86455388
57	22.63178693
58	22.49149543
59	22.23752959
60	22.09409236
61	21.99880907
62	21.8934657
63	21.79186709
64	21.65499037
65	21.55899054
66	21.34475432
67	21.13217406
68	20.98983998
69	20.92037465
70	20.81192339
71	20.58358108
72	20.5239597
73	20.46364137
74	20.34988528
75	20.2448327
76	20.15619853
77	20.07197093
78	19.98292313
79	19.84176851
80	19.77764149
81	19.60815558
82	19.56123487
83	19.48994368
84	19.35341329
85	19.28020453
86	19.21511741
87	19.15179872
88	19.11691703
89	19.04514901
90	18.93623051
91	18.79835727
92	18.72363202
93	18.67240902
94	18.61995021
95	18.52240368
96	18.41171019
97	18.34948747
98	18.25597304
99	18.20897014
