iter	Passed	Remaining
0	33	3271
1	61	3026
2	88	2873
3	116	2784
4	146	2775
5	172	2708
6	200	2669
7	225	2595
8	251	2537
9	272	2449
10	296	2398
11	322	2366
12	348	2333
13	372	2290
14	398	2256
15	424	2226
16	448	2188
17	468	2133
18	488	2082
19	510	2042
20	533	2005
21	558	1980
22	584	1956
23	609	1929
24	633	1899
25	658	1873
26	679	1836
27	700	1800
28	725	1775
29	748	1746
30	772	1718
31	798	1696
32	823	1671
33	851	1653
34	877	1629
35	904	1607
36	924	1574
37	952	1553
38	977	1528
39	1002	1503
40	1025	1475
41	1049	1449
42	1071	1420
43	1097	1396
44	1119	1368
45	1138	1336
46	1162	1311
47	1184	1283
48	1210	1260
49	1234	1234
50	1258	1209
51	1284	1185
52	1309	1161
53	1332	1135
54	1350	1104
55	1370	1077
56	1396	1053
57	1420	1028
58	1443	1003
59	1465	977
60	1491	953
61	1516	929
62	1541	905
63	1559	877
64	1577	849
65	1599	823
66	1622	799
67	1646	774
68	1669	750
69	1694	726
70	1720	702
71	1746	679
72	1771	655
73	1790	629
74	1812	604
75	1835	579
76	1858	555
77	1883	531
78	1906	506
79	1930	482
80	1954	458
81	1979	434
82	2001	410
83	2020	384
84	2041	360
85	2063	335
86	2086	311
87	2109	287
88	2133	263
89	2159	239
90	2182	215
91	2209	192
92	2229	167
93	2249	143
94	2273	119
95	2298	95
96	2326	71
97	2348	47
98	2372	23
99	2396	0
